condition,generator,dataset,seed,method,n_documents,harmonic_purity,coverage,ari,nmi
compact,GPT-4.1 mini,sib200,23,direct_initial,140,0.5238804019558531,1.0,0.241433091750562,0.4254811316017036
compact,GPT-4.1 mini,sib200,23,bertopic,140,0.2627474826963318,0.1214285714285714,0.0042513550669157,0.0904734948161464
compact,GPT-4.1 mini,sib200,23,kmeans,140,0.4787322282442647,1.0,0.2015219135890579,0.401221046608877
compact,GPT-4.1 mini,sib200,37,hybrid,140,0.5671560135573769,0.9642857142857144,0.3294241321472931,0.4664102019926388
compact,GPT-4.1 mini,sib200,37,initial,140,0.5671560135573769,0.9642857142857144,0.3294241321472931,0.4664102019926388
compact,GPT-4.1 mini,sib200,37,direct_hybrid,140,0.6288085104317233,1.0,0.3206345249263591,0.4732474048851723
compact,GPT-4.1 mini,sib200,37,direct_initial,140,0.6288085104317233,1.0,0.3206345249263591,0.4732474048851723
compact,GPT-4.1 mini,sib200,37,bertopic,140,0.2547786014826688,0.0357142857142857,0.0015398350410759,0.0671224539525357
compact,GPT-4.1 mini,sib200,37,kmeans,140,0.5633894906936382,1.0,0.3030408648701533,0.4702349613877361
compact,GPT-4.1 mini,sib200,53,hybrid,140,0.4825739478181209,0.9642857142857144,0.2210955052108246,0.369934167738137
compact,GPT-4.1 mini,sib200,53,initial,140,0.4825739478181209,0.9642857142857144,0.2210955052108246,0.369934167738137
compact,GPT-4.1 mini,sib200,53,direct_hybrid,140,0.5895947090531021,1.0,0.2768638781019056,0.457094885262337
compact,GPT-4.1 mini,sib200,53,direct_initial,140,0.5895947090531021,1.0,0.2768638781019056,0.457094885262337
compact,GPT-4.1 mini,sib200,53,bertopic,140,0.24860853432282,0.0428571428571428,0.0003593526124474,0.0652456169042813
compact,GPT-4.1 mini,sib200,53,kmeans,140,0.4921149691548173,1.0,0.1708803867057976,0.3615468228066177
compact,GPT-4.1 mini,sib200,71,hybrid,140,0.5194426136404625,0.9642857142857144,0.2808228206852006,0.4096720987665395
compact,GPT-4.1 mini,sib200,71,initial,140,0.5194426136404625,0.9642857142857144,0.2808228206852006,0.4096720987665395
compact,GPT-4.1 mini,sib200,71,direct_hybrid,140,0.6153046215937544,1.0,0.3026091413588826,0.4677949807565957
compact,GPT-4.1 mini,sib200,71,direct_initial,140,0.6117431970239264,1.0,0.2991415072037617,0.4602856708025751
compact,GPT-4.1 mini,sib200,71,bertopic,140,0.2547619047619047,0.0714285714285714,0.0022831912390524,0.0900554234413218
compact,GPT-4.1 mini,sib200,71,kmeans,140,0.5952024500683443,1.0,0.2966863742609652,0.4785318189696885
compact,GPT-4.1 mini,massive,11,hybrid,360,0.5353705065857425,0.95,0.3671919362048474,0.5942473985492577
compact,GPT-4.1 mini,massive,11,initial,360,0.5333721172432065,0.95,0.3639015167709357,0.592583617797082
compact,GPT-4.1 mini,massive,11,direct_hybrid,360,0.5368768128028286,1.0,0.2665424747553211,0.5684802399036181
compact,GPT-4.1 mini,massive,11,direct_initial,360,0.5217269354923791,1.0,0.2545414764998918,0.5564076814810367
compact,GPT-4.1 mini,massive,11,bertopic,360,0.6170246114325354,0.6972222222222222,0.2658387547805033,0.6391595537842841
compact,GPT-4.1 mini,massive,11,kmeans,360,0.5465974736723493,1.0,0.3231932204010286,0.6048150674746949
compact,GPT-4.1 mini,massive,23,hybrid,360,0.4677539529023134,0.95,0.271033846190887,0.5369483992202404
compact,GPT-4.1 mini,massive,23,initial,360,0.4696687048170653,0.95,0.2722317034608193,0.5388852440799518
compact,GPT-4.1 mini,massive,23,direct_hybrid,360,0.4466109368365532,1.0,0.1867847979207962,0.5043156804581499
compact,GPT-4.1 mini,massive,23,direct_initial,360,0.4192103587638039,1.0,0.1744588713352364,0.481479964548216
compact,GPT-4.1 mini,massive,23,bertopic,360,0.5773331432605625,0.6944444444444444,0.2493896105647957,0.6097018161681717
compact,GPT-4.1 mini,massive,23,kmeans,360,0.5770974552974384,1.0,0.4000935294991513,0.6535300686168272
compact,GPT-4.1 mini,massive,37,hybrid,360,0.4551833626277888,0.95,0.2915267209167775,0.5396756471618599
compact,GPT-4.1 mini,massive,37,initial,360,0.4463572802121456,0.95,0.2785559077759623,0.532121944441329
compact,GPT-4.1 mini,massive,37,direct_hybrid,360,0.4062795687944239,1.0,0.1545375437273821,0.4642825699143561
compact,GPT-4.1 mini,massive,37,direct_initial,360,0.4113645219084337,1.0,0.1474686036749495,0.4575524413608512
compact,GPT-4.1 mini,massive,37,bertopic,360,0.5818764328150389,0.7111111111111111,0.2733095067762708,0.6256835514524454
compact,GPT-4.1 mini,massive,37,kmeans,360,0.5852002423982109,1.0,0.3081561901487452,0.6655634896799241
compact,GPT-4.1 mini,massive,53,hybrid,360,0.4982079760041699,0.95,0.3008252520720691,0.5522959040380694
compact,GPT-4.1 mini,massive,53,initial,360,0.5017480276216796,0.95,0.3007832504525055,0.5594039831372161
compact,GPT-4.1 mini,massive,53,direct_hybrid,360,0.4214167113118584,1.0,0.1663820222227765,0.4791731206250347
compact,GPT-4.1 mini,massive,53,direct_initial,360,0.3983772947952366,1.0,0.1428278179323458,0.4664025055431593
compact,GPT-4.1 mini,massive,53,bertopic,360,0.5403660940713135,0.6416666666666667,0.2424777235377771,0.620541131149462
compact,GPT-4.1 mini,massive,53,kmeans,360,0.5332433189186253,1.0,0.3041409347486432,0.5851563720318258
compact,GPT-4.1 mini,massive,71,hybrid,360,0.491391131500511,0.95,0.3019506740211596,0.56213900608105
compact,GPT-4.1 mini,massive,71,initial,360,0.4872107510652402,0.95,0.2914359703803554,0.5517505575990016
compact,GPT-4.1 mini,massive,71,direct_hybrid,360,0.4295005133367237,1.0,0.2177295185489879,0.4922992675002878
compact,GPT-4.1 mini,massive,71,direct_initial,360,0.4307077954428822,1.0,0.2171260322933642,0.4916731457626569
compact,GPT-4.1 mini,massive,71,bertopic,360,0.6167983790610155,0.7166666666666667,0.3003361515842616,0.6533559040960516
compact,GPT-4.1 mini,massive,71,kmeans,360,0.6425507012178379,1.0,0.415952348856695,0.6688720886153764
compact,GPT-4.1 mini,ag_news,11,hybrid,799,0.7520513409403424,1.0,0.4853586505459486,0.4705366331235631
compact,GPT-4.1 mini,ag_news,11,initial,799,0.7615416224447206,1.0,0.4976757660213053,0.482396159772488
compact,GPT-4.1 mini,ag_news,11,direct_hybrid,799,0.7373059701623368,1.0,0.4821994542378598,0.4786567588393671
compact,GPT-4.1 mini,ag_news,11,direct_initial,799,0.7458390153837219,1.0,0.4873468761735537,0.4862825689056834
compact,GPT-4.1 mini,ag_news,11,bertopic,799,0.6049451676182654,0.6620775969962454,0.3796566580414365,0.4935375125849195
compact,GPT-4.1 mini,ag_news,11,kmeans,799,0.5312275506885166,1.0,0.350511013836382,0.5310743479151638
compact,GPT-4.1 mini,ag_news,23,hybrid,799,0.7642892195407002,1.0,0.5165757487722706,0.4940506695781801
compact,GPT-4.1 mini,ag_news,23,initial,799,0.7669121934014936,1.0,0.520124363566568,0.5015714066861956
