condition,generator,dataset,seed,method,n_documents,harmonic_purity,coverage,ari,nmi,final_topics
neutral,Luna,massive,23,hybrid,360,0.6585628206613,0.95,0.4872369357468111,0.7089285373198928,30
neutral,Luna,bills,37,hybrid,376,0.4303433382336863,0.9388297872340424,0.2419042488937841,0.4900379720155239,24
neutral,Luna,ag_news,11,hybrid,799,0.4323631874077521,1.0,0.2420152204785651,0.4301435721461525,24
neutral,Luna,bills,11,hybrid,376,0.4311241040355102,0.9388297872340424,0.2287889489944403,0.48031343252228,25
neutral,Luna,sib200,11,hybrid,140,0.4295660378846879,0.9642857142857144,0.1484876834371293,0.4182594491245751,24
neutral,Luna,massive,11,hybrid,360,0.6627742576927077,0.95,0.4765674452009464,0.6890816992345199,26
neutral,GPT-4.1 mini,massive,37,hybrid,360,0.5840887620619388,0.95,0.3667066726447214,0.6143232290575156,19
neutral,GPT-4.1 mini,bills,23,hybrid,376,0.3941889986675339,0.9388297872340424,0.1835213427274567,0.4354606013925335,20
neutral,GPT-4.1 mini,ag_news,23,hybrid,799,0.6444440018867531,1.0,0.3975643203414604,0.4462663072021369,12
neutral,GPT-4.1 mini,ag_news,71,hybrid,799,0.7005754373433483,1.0,0.4855154534188374,0.4824779783462861,10
neutral,GPT-4.1 mini,bills,71,hybrid,376,0.3959807164316182,0.9388297872340424,0.1873511439307167,0.4287005356384701,17
neutral,GPT-4.1 mini,massive,53,hybrid,360,0.6342525612071377,0.95,0.4437150937566841,0.6542960215263162,23
neutral,GPT-4.1 mini,sib200,71,hybrid,140,0.4936245842020917,0.9642857142857144,0.1997732387930888,0.3615340520757838,10
neutral,GPT-4.1 mini,sib200,23,hybrid,140,0.5423663982670194,0.9642857142857144,0.2515063017260617,0.4018780742085407,9
neutral,GPT-4.1 mini,sib200,37,hybrid,140,0.4601184943071352,0.9642857142857144,0.1955912777031827,0.3502590043430804,10
neutral,GPT-4.1 mini,sib200,53,hybrid,140,0.5084732354480254,0.9642857142857144,0.2525202035619995,0.3955971780881391,10
neutral,GPT-4.1 mini,massive,71,hybrid,360,0.6093006212372871,0.95,0.4242993204183025,0.6373575745433078,18
neutral,GPT-4.1 mini,bills,53,hybrid,376,0.4482941123527844,0.9388297872340424,0.2313105586418268,0.4707668523862777,18
neutral,GPT-4.1 mini,ag_news,53,hybrid,799,0.684013347276863,1.0,0.4043370561236221,0.4529710362384447,12
neutral,GPT-4.1 mini,ag_news,37,hybrid,799,0.7192919756471848,1.0,0.4900150082382581,0.4816078308239039,11
neutral,GPT-4.1 mini,massive,23,hybrid,360,0.5923741356800786,0.95,0.3992730925556041,0.6292027141744184,26
neutral,GPT-4.1 mini,bills,37,hybrid,376,0.3542188094797073,0.9388297872340424,0.1722331584452809,0.3922239377255729,12
neutral,GPT-4.1 mini,ag_news,11,hybrid,799,0.6640930043115214,1.0,0.44472797840444,0.4609690361375232,13
neutral,GPT-4.1 mini,bills,11,hybrid,376,0.3763732733252786,0.9388297872340424,0.1873453597707064,0.4147833968067362,17
neutral,GPT-4.1 mini,sib200,11,hybrid,140,0.439850052055714,0.9642857142857144,0.1753065182561767,0.3516693091627776,12
neutral,GPT-4.1 mini,massive,11,hybrid,360,0.570599368969957,0.95,0.3853974504669034,0.6189717581983537,19
