generator,dataset,scope,method,runs,hmp,hmp_sd,coverage,coverage_sd,ari,nmi
GPT-4.1 mini,ag_news,all_eligible,off,5,0.5382330693493127,0.044340079117294665,0.7697121401752189,0.04092060757014219,0.23413177203762467,0.314692417295258
GPT-4.1 mini,ag_news,all_eligible,on,5,0.7177335014812869,0.0453654274431039,1.0,0.0,0.4802857897303876,0.4835563427489366
GPT-4.1 mini,ag_news,common_assigned_diagnostic,off,5,0.6232998175405216,0.05582771665197424,1.0,0.0,0.3243050218797096,0.3732467836757614
GPT-4.1 mini,ag_news,common_assigned_diagnostic,on,5,0.6855713220585072,0.052467339033142435,1.0,0.0,0.4118077054256933,0.4449688503880996
GPT-4.1 mini,bills,all_eligible,off,5,0.36398690477275675,0.0245545158076026,0.7755319148936171,0.03183722819499022,0.14892839593903115,0.39095517087145415
GPT-4.1 mini,bills,all_eligible,on,5,0.36469503435831674,0.030111740522031763,0.9388297872340425,0.0,0.17181723605592705,0.393812176491412
GPT-4.1 mini,bills,common_assigned_diagnostic,off,5,0.4115194545042586,0.029098931738527917,1.0,0.0,0.22399897529392998,0.44684775476697497
GPT-4.1 mini,bills,common_assigned_diagnostic,on,5,0.4207164910933271,0.0345117172844449,1.0,0.0,0.2285860383734378,0.4594776792773024
GPT-4.1 mini,massive,all_eligible,off,5,0.45484697669302643,0.0288387055805653,0.7211111111111111,0.01920487335271511,0.18763838389162196,0.4705343384499008
GPT-4.1 mini,massive,all_eligible,on,5,0.4895813859241051,0.03095964165426299,0.95,0.0,0.3065056858811482,0.5570612710100955
GPT-4.1 mini,massive,common_assigned_diagnostic,off,5,0.5416125566818104,0.03847427380556511,1.0,0.0,0.37738001548507505,0.6095951885545648
GPT-4.1 mini,massive,common_assigned_diagnostic,on,5,0.5524674072782917,0.037841776447032495,1.0,0.0,0.38728070673663384,0.6276072179334499
GPT-4.1 mini,sib200,all_eligible,off,5,0.485881939101921,0.0374203167121739,0.6985714285714286,0.027386127875258348,0.1620561291796745,0.36515115288631017
GPT-4.1 mini,sib200,all_eligible,on,5,0.5008992192864419,0.044218864544956146,0.9642857142857142,0.0,0.25424430479347315,0.3980281905870993
GPT-4.1 mini,sib200,common_assigned_diagnostic,off,5,0.5788596885188669,0.02707405078446082,1.0,0.0,0.2963829921855651,0.4725561613536472
GPT-4.1 mini,sib200,common_assigned_diagnostic,on,5,0.5727185446643079,0.051522520467549106,1.0,0.0,0.3091964784883291,0.4881969720559649
Luna,ag_news,all_eligible,off,5,0.48234805808432013,0.03383679858225908,0.858322903629537,0.024226744949350853,0.22272803782916445,0.3645114336218815
Luna,ag_news,all_eligible,on,5,0.626163064880729,0.05127596175020594,1.0,0.0,0.40219422749579703,0.4755345106229035
Luna,ag_news,common_assigned_diagnostic,off,5,0.5300237384890641,0.041218606883439604,1.0,0.0,0.2735453617740737,0.4079484612652111
Luna,ag_news,common_assigned_diagnostic,on,5,0.6051902243946444,0.049775640587240794,1.0,0.0,0.35223678286899074,0.46313747729433635
Luna,bills,all_eligible,off,5,0.4228290101750664,0.03130759010382188,0.8595744680851064,0.027472258528971713,0.20600049026347977,0.46168700102765997
Luna,bills,all_eligible,on,5,0.41809570776114624,0.01542336240201708,0.9388297872340425,0.0,0.23144423501157715,0.46936670154563515
Luna,bills,common_assigned_diagnostic,off,5,0.4617304492905613,0.0304665795944214,1.0,0.0,0.2725094119047535,0.5094348221012683
Luna,bills,common_assigned_diagnostic,on,5,0.4556220863332322,0.01169729665947579,1.0,0.0,0.2744071935398844,0.5100178442953083
Luna,massive,all_eligible,off,5,0.6369740035379776,0.019976520026743466,0.8427777777777777,0.012203268131382677,0.3791080151270396,0.6543324135344498
Luna,massive,all_eligible,on,5,0.6608097566929103,0.023591707277308527,0.95,0.0,0.47496592276833616,0.6923806341486125
Luna,massive,common_assigned_diagnostic,off,5,0.7118038387405866,0.025037440624856234,1.0,0.0,0.5485345123159691,0.7421917710891817
Luna,massive,common_assigned_diagnostic,on,5,0.720590480108369,0.019537186582224902,1.0,0.0,0.5600022165514799,0.7529310180797406
Luna,sib200,all_eligible,off,5,0.4489827988691778,0.019103826063753552,0.8099999999999999,0.008144110179279537,0.15102585605986646,0.39704284130900064
Luna,sib200,all_eligible,on,5,0.4758949573626399,0.014527326865006171,0.9642857142857142,0.0,0.19852895386028,0.4061012959960301
Luna,sib200,common_assigned_diagnostic,off,5,0.5075785725928675,0.02682377021642146,1.0,0.0,0.2231467042784992,0.4673713417321393
Luna,sib200,common_assigned_diagnostic,on,5,0.505884413503206,0.021837401260573847,1.0,0.0,0.21921885871858401,0.4494794779302301
