generator,dataset,seed,method,n_documents,coverage,harmonic_purity,ari,nmi,topicgpt_weighted_best_f1,legacy_global_hmp
GPT-4.1 mini,sib200,37,kmeans,140,1.0,0.5633894906936382,0.3030408648701533,0.4702349613877361,0.5633894906936382,0.5958939264328486
GPT-4.1 mini,sib200,53,hybrid,140,0.9642857142857144,0.4825739478181209,0.2210955052108246,0.369934167738137,0.4825739478181209,0.5172413793103449
GPT-4.1 mini,sib200,53,initial,140,0.9642857142857144,0.4825739478181209,0.2210955052108246,0.369934167738137,0.4825739478181209,0.5172413793103449
GPT-4.1 mini,sib200,53,direct_hybrid,140,1.0,0.5895947090531021,0.2768638781019056,0.457094885262337,0.5895947090531021,0.5691964285714286
GPT-4.1 mini,sib200,53,direct_initial,140,1.0,0.5895947090531021,0.2768638781019056,0.457094885262337,0.5895947090531021,0.5691964285714286
GPT-4.1 mini,sib200,53,bertopic,140,0.0428571428571428,0.24860853432282,0.0003593526124474,0.0652456169042813,0.24860853432282,0.3009883198562444
GPT-4.1 mini,sib200,53,kmeans,140,1.0,0.4921149691548173,0.1708803867057976,0.3615468228066177,0.4921149691548173,0.4847689075630252
GPT-4.1 mini,sib200,71,hybrid,140,0.9642857142857144,0.5194426136404625,0.2808228206852006,0.4096720987665395,0.5194426136404625,0.5476808905380334
GPT-4.1 mini,sib200,71,initial,140,0.9642857142857144,0.5194426136404625,0.2808228206852006,0.4096720987665395,0.5194426136404625,0.5476808905380334
GPT-4.1 mini,sib200,71,direct_hybrid,140,1.0,0.6153046215937544,0.3026091413588826,0.4677949807565957,0.6153046215937544,0.5938408896492728
GPT-4.1 mini,sib200,71,direct_initial,140,1.0,0.6117431970239264,0.2991415072037617,0.4602856708025751,0.6117431970239264,0.5875324675324676
GPT-4.1 mini,sib200,71,bertopic,140,0.0714285714285714,0.2547619047619047,0.0022831912390524,0.0900554234413218,0.2547619047619047,0.3193812556869881
GPT-4.1 mini,sib200,71,kmeans,140,1.0,0.5952024500683443,0.2966863742609652,0.4785318189696885,0.5952024500683443,0.5858864027538726
GPT-4.1 mini,massive,11,hybrid,360,0.95,0.5353705065857425,0.3671919362048474,0.5942473985492577,0.5353705065857425,0.5985052316890881
GPT-4.1 mini,massive,11,initial,360,0.95,0.5333721172432065,0.3639015167709357,0.592583617797082,0.5333721172432065,0.5971106150793651
GPT-4.1 mini,massive,11,direct_hybrid,360,1.0,0.5368768128028286,0.2665424747553211,0.5684802399036181,0.5368768128028286,0.5808868501529053
GPT-4.1 mini,massive,11,direct_initial,360,1.0,0.5217269354923791,0.2545414764998918,0.5564076814810367,0.5217269354923791,0.5720430107526882
GPT-4.1 mini,massive,11,bertopic,360,0.6972222222222222,0.6170246114325354,0.2658387547805033,0.6391595537842841,0.6170246114325354,0.6240822320117474
GPT-4.1 mini,massive,11,kmeans,360,1.0,0.5465974736723493,0.3231932204010286,0.6048150674746949,0.5465974736723493,0.5601962344205781
GPT-4.1 mini,massive,23,hybrid,360,0.95,0.4677539529023134,0.271033846190887,0.5369483992202404,0.4677539529023134,0.5133671742808797
GPT-4.1 mini,massive,23,initial,360,0.95,0.4696687048170653,0.2722317034608193,0.5388852440799518,0.4696687048170653,0.5157010915197313
GPT-4.1 mini,massive,23,direct_hybrid,360,1.0,0.4466109368365532,0.1867847979207962,0.5043156804581499,0.4466109368365532,0.5008525149190112
GPT-4.1 mini,massive,23,direct_initial,360,1.0,0.4192103587638039,0.1744588713352364,0.481479964548216,0.4192103587638039,0.4849554981337927
GPT-4.1 mini,massive,23,bertopic,360,0.6944444444444444,0.5773331432605625,0.2493896105647957,0.6097018161681717,0.5773331432605625,0.5914942528735632
GPT-4.1 mini,massive,23,kmeans,360,1.0,0.5770974552974384,0.4000935294991513,0.6535300686168272,0.5770974552974384,0.6270180436847104
GPT-4.1 mini,massive,37,hybrid,360,0.95,0.4551833626277888,0.2915267209167775,0.5396756471618599,0.4551833626277888,0.5208333333333334
GPT-4.1 mini,massive,37,initial,360,0.95,0.4463572802121456,0.2785559077759623,0.532121944441329,0.4463572802121456,0.5071879286694102
GPT-4.1 mini,massive,37,direct_hybrid,360,1.0,0.4062795687944239,0.1545375437273821,0.4642825699143561,0.4062795687944239,0.4474466109563603
GPT-4.1 mini,massive,37,direct_initial,360,1.0,0.4113645219084337,0.1474686036749495,0.4575524413608512,0.4113645219084337,0.4425771604938271
GPT-4.1 mini,massive,37,bertopic,360,0.7111111111111111,0.5818764328150389,0.2733095067762708,0.6256835514524454,0.5818764328150389,0.6018099547511311
GPT-4.1 mini,massive,37,kmeans,360,1.0,0.5852002423982109,0.3081561901487452,0.6655634896799241,0.5852002423982109,0.6557017543859649
GPT-4.1 mini,massive,53,hybrid,360,0.95,0.4982079760041699,0.3008252520720691,0.5522959040380694,0.4982079760041699,0.5527508090614887
GPT-4.1 mini,massive,53,initial,360,0.95,0.5017480276216796,0.3007832504525055,0.5594039831372161,0.5017480276216796,0.5591089896579158
GPT-4.1 mini,massive,53,direct_hybrid,360,1.0,0.4214167113118584,0.1663820222227765,0.4791731206250347,0.4214167113118584,0.4990952784845914
GPT-4.1 mini,massive,53,direct_initial,360,1.0,0.3983772947952366,0.1428278179323458,0.4664025055431593,0.3983772947952366,0.4761421319796953
GPT-4.1 mini,massive,53,bertopic,360,0.6416666666666667,0.5403660940713135,0.2424777235377771,0.620541131149462,0.5403660940713135,0.6095444685466378
GPT-4.1 mini,massive,53,kmeans,360,1.0,0.5332433189186253,0.3041409347486432,0.5851563720318258,0.5332433189186253,0.581370284834488
GPT-4.1 mini,massive,71,hybrid,360,0.95,0.491391131500511,0.3019506740211596,0.56213900608105,0.491391131500511,0.5504439063761097
GPT-4.1 mini,massive,71,initial,360,0.95,0.4872107510652402,0.2914359703803554,0.5517505575990016,0.4872107510652402,0.5440659637739931
GPT-4.1 mini,massive,71,direct_hybrid,360,1.0,0.4295005133367237,0.2177295185489879,0.4922992675002878,0.4295005133367237,0.4949521322889469
GPT-4.1 mini,massive,71,direct_initial,360,1.0,0.4307077954428822,0.2171260322933642,0.4916731457626569,0.4307077954428822,0.494212962962963
GPT-4.1 mini,massive,71,bertopic,360,0.7166666666666667,0.6167983790610155,0.3003361515842616,0.6533559040960516,0.6167983790610155,0.6297903109182936
GPT-4.1 mini,massive,71,kmeans,360,1.0,0.6425507012178379,0.415952348856695,0.6688720886153764,0.6425507012178379,0.6687972508591065
GPT-4.1 mini,ag_news,11,hybrid,799,1.0,0.7520513409403424,0.4853586505459486,0.4705366331235631,0.7520513409403424,0.7355662197595607
GPT-4.1 mini,ag_news,11,initial,799,1.0,0.7615416224447206,0.4976757660213053,0.482396159772488,0.7615416224447206,0.7449411598108284
GPT-4.1 mini,ag_news,11,direct_hybrid,799,1.0,0.7373059701623368,0.4821994542378598,0.4786567588393671,0.7373059701623368,0.7468525297390326
GPT-4.1 mini,ag_news,11,direct_initial,799,1.0,0.7458390153837219,0.4873468761735537,0.4862825689056834,0.7458390153837219,0.7530661253598507
GPT-4.1 mini,ag_news,11,bertopic,799,0.6620775969962454,0.6049451676182654,0.3796566580414365,0.4935375125849195,0.6049451676182654,0.680987103444523
GPT-4.1 mini,ag_news,11,kmeans,799,1.0,0.5312275506885166,0.350511013836382,0.5310743479151638,0.5312275506885166,0.5327405525563671
GPT-4.1 mini,ag_news,23,hybrid,799,1.0,0.7642892195407002,0.5165757487722706,0.4940506695781801,0.7642892195407002,0.7514976847610381
GPT-4.1 mini,ag_news,23,initial,799,1.0,0.7669121934014936,0.520124363566568,0.5015714066861956,0.7669121934014936,0.7583885106588322
GPT-4.1 mini,ag_news,23,direct_hybrid,799,1.0,0.7843651837985992,0.5412081142738251,0.4983412636615394,0.7843651837985992,0.7727753391254415
GPT-4.1 mini,ag_news,23,direct_initial,799,1.0,0.7868277149145498,0.5456284583689633,0.5058537825104957,0.7868277149145498,0.7779166172804287
GPT-4.1 mini,ag_news,23,bertopic,799,0.5819774718397998,0.5487089763944202,0.3270373071145842,0.4446639410154409,0.5487089763944202,0.6747312732203484
GPT-4.1 mini,ag_news,23,kmeans,799,1.0,0.6785333649033535,0.4454392864604616,0.5882869818754946,0.6785333649033535,0.6665228086832679
GPT-4.1 mini,ag_news,37,hybrid,799,1.0,0.729248831244193,0.5211256794837837,0.509103017898816,0.729248831244193,0.7378466780955185
GPT-4.1 mini,ag_news,37,initial,799,1.0,0.7384478309496794,0.5397293176661364,0.5313279620238242,0.7384478309496794,0.7524256806156211
GPT-4.1 mini,ag_news,37,direct_hybrid,799,1.0,0.6599926226857786,0.3055284737156771,0.4184955291240019,0.6599926226857786,0.6705145864360245
GPT-4.1 mini,ag_news,37,direct_initial,799,1.0,0.6593941477562845,0.3037044937532305,0.4179428300821584,0.6593941477562845,0.6693791679898381
GPT-4.1 mini,ag_news,37,bertopic,799,0.6445556946182729,0.5628876793814486,0.3485713697160358,0.4731800997159129,0.5628876793814486,0.6574508154024923
GPT-4.1 mini,ag_news,37,kmeans,799,1.0,0.6923673572688818,0.441743289869613,0.578368810347711,0.6923673572688818,0.6719797788196956
GPT-4.1 mini,ag_news,53,hybrid,799,1.0,0.6559428568108091,0.4138366732162699,0.4660668905180093,0.6559428568108091,0.6471641818693348
GPT-4.1 mini,ag_news,53,initial,799,1.0,0.6567027511165542,0.4169569762717744,0.469766519419847,0.6567027511165542,0.6472882770129328
GPT-4.1 mini,ag_news,53,direct_hybrid,799,1.0,0.6447338416177545,0.4007906400599075,0.4448944104166892,0.6447338416177545,0.6605569287837786
GPT-4.1 mini,ag_news,53,direct_initial,799,1.0,0.6448919042393587,0.4022755619726079,0.4446771609922603,0.6448919042393587,0.6609234666595525
GPT-4.1 mini,ag_news,53,bertopic,799,0.6971214017521903,0.4842837782076829,0.2038505674591465,0.4116134009971526,0.4842837782076829,0.5718127206909607
GPT-4.1 mini,ag_news,53,kmeans,799,1.0,0.6118288349125529,0.3557719301454329,0.5341360289314843,0.6118288349125529,0.5955186538408361
