generator,backend,dataset,seed,method,split,sample_scope,evidence_role,n_documents,coverage,n_rejected,n_assigned_topics,mapped_accuracy,purity,inverse_purity,harmonic_purity,ari,nmi,assigned_mapped_accuracy,assigned_purity,assigned_inverse_purity,assigned_harmonic_purity,assigned_ari,assigned_nmi
GPT-4.1 mini,cloud,bills,23,bertopic,test,eligible,release_revalidation_previously_seen,376,1.0,0,2,0.1037234042553191,0.1037234042553191,0.9840425531914894,0.1876658169900639,0.0105860969210734,0.1098066181312095,0.1037234042553191,0.1037234042553191,0.9840425531914894,0.1876658169900639,0.0105860969210734,0.1098066181312095
GPT-4.1 mini,cloud,bills,23,kmeans,test,eligible,release_revalidation_previously_seen,376,1.0,0,15,0.3723404255319149,0.3909574468085106,0.4893617021276595,0.4346596387478306,0.1976399367176457,0.4467304154988376,0.3723404255319149,0.3909574468085106,0.4893617021276595,0.4346596387478306,0.1976399367176457,0.4467304154988376
GPT-4.1 mini,cloud,bills,37,hybrid,test,eligible,release_revalidation_previously_seen,376,0.9388297872340424,23,14,0.3803191489361702,0.3882978723404255,0.4920212765957447,0.4340489811660346,0.1951651923502408,0.4061755748594065,0.3937677053824363,0.4022662889518413,0.5212464589235127,0.4540920071603608,0.2083334516978542,0.4216059904792577
GPT-4.1 mini,cloud,bills,37,initial,test,eligible,release_revalidation_previously_seen,376,0.9388297872340424,23,10,0.3297872340425531,0.3297872340425531,0.4867021276595745,0.3931665396077344,0.1503206012573057,0.347623340097752,0.3399433427762039,0.3399433427762039,0.5155807365439093,0.4097330356640339,0.1588215656241208,0.3587278422117405
GPT-4.1 mini,cloud,bills,37,direct_hybrid,test,eligible,release_revalidation_previously_seen,376,1.0,0,14,0.3563829787234042,0.3723404255319149,0.4308510638297872,0.3994645624911934,0.1658904822622441,0.3849972173389728,0.3563829787234042,0.3723404255319149,0.4308510638297872,0.3994645624911934,0.1658904822622441,0.3849972173389728
GPT-4.1 mini,cloud,bills,37,direct_initial,test,eligible,release_revalidation_previously_seen,376,1.0,0,10,0.3191489361702128,0.3218085106382978,0.5106382978723404,0.3948066073006593,0.1454006827788005,0.348538321539413,0.3191489361702128,0.3218085106382978,0.5106382978723404,0.3948066073006593,0.1454006827788005,0.348538321539413
GPT-4.1 mini,cloud,bills,37,bertopic,test,eligible,release_revalidation_previously_seen,376,1.0,0,2,0.1037234042553191,0.1037234042553191,0.9840425531914894,0.1876658169900639,0.0105860969210734,0.1098066181312095,0.1037234042553191,0.1037234042553191,0.9840425531914894,0.1876658169900639,0.0105860969210734,0.1098066181312095
GPT-4.1 mini,cloud,bills,37,kmeans,test,eligible,release_revalidation_previously_seen,376,1.0,0,14,0.4228723404255319,0.4228723404255319,0.5585106382978723,0.4813181110534509,0.2154813969588445,0.472710699811035,0.4228723404255319,0.4228723404255319,0.5585106382978723,0.4813181110534509,0.2154813969588445,0.472710699811035
GPT-4.1 mini,cloud,bills,53,hybrid,test,eligible,release_revalidation_previously_seen,376,0.9388297872340424,23,14,0.3191489361702128,0.3218085106382978,0.4441489361702128,0.3732084810874704,0.1366323179311256,0.3644364347524876,0.3314447592067989,0.3314447592067989,0.4702549575070821,0.3888327210482587,0.1444853091561758,0.3765742549270908
GPT-4.1 mini,cloud,bills,53,initial,test,eligible,release_revalidation_previously_seen,376,0.9388297872340424,23,10,0.300531914893617,0.300531914893617,0.4601063829787234,0.3635805683678024,0.1316682212584089,0.3383061576806561,0.3087818696883853,0.3087818696883853,0.490084985835694,0.3788600245112812,0.1385985736379072,0.3486447128457384
