generator,dataset,method,harmonic_purity_mean,harmonic_purity_std,coverage_mean,coverage_std,ari_mean,ari_std,nmi_mean,nmi_std,runs
GPT-4.1 mini,ag_news,bertopic,0.6595813563258003,0.05301209514835964,0.6888610763454318,0.10365190546588211,0.34425412664638533,0.09378447180593538,0.4709183819697441,0.04583941034983451,5
GPT-4.1 mini,ag_news,direct_hybrid,0.7031514684091495,0.05264941249418066,1.0,0.0,0.423866670897422,0.09066684560535046,0.45103468475171804,0.03678109967615897,5
GPT-4.1 mini,ag_news,direct_initial,0.7067566814469017,0.05449706037043262,1.0,0.0,0.42648799140741167,0.09307189397987954,0.4558832316526454,0.038604168973871096,5
GPT-4.1 mini,ag_news,hybrid,0.7122081765695382,0.04335179036777544,1.0,0.0,0.4802857897303875,0.04380140528610087,0.48355634274893655,0.017809818500084718,5
GPT-4.1 mini,ag_news,initial,0.7197329855544906,0.04750821816393866,1.0,0.0,0.48913966070470566,0.04775975175267942,0.4944641699638425,0.02354240917967826,5
GPT-4.1 mini,ag_news,kmeans,0.598941717594901,0.06952760790467546,1.0,0.0,0.3787308560748225,0.06307319977435853,0.5505356805801943,0.030541034658665134,5
GPT-4.1 mini,bills,bertopic,0.20418103598785411,0.0369291523423548,0.975,0.05590169943749474,0.017148183157923158,0.014673270899811849,0.1366264000618806,0.059970855538701094,5
GPT-4.1 mini,bills,direct_hybrid,0.4346222838836108,0.034669478023902814,1.0,0.0,0.18863030142747114,0.02951577168226989,0.4121580683710957,0.027271443126936402,5
GPT-4.1 mini,bills,direct_initial,0.44226988670011247,0.031095461816387233,1.0,0.0,0.18575241398004122,0.030507296198033818,0.3975511773767021,0.036939380519825114,5
GPT-4.1 mini,bills,hybrid,0.4123409930625961,0.027995849276164105,0.9388297872340423,0.0,0.171817236055927,0.028661950440109503,0.3938121764914119,0.025337045311895776,5
GPT-4.1 mini,bills,initial,0.4015449530312495,0.028741910133377943,0.9388297872340423,0.0,0.1617991850773696,0.028015265078767712,0.37224117169567084,0.03474018605371328,5
GPT-4.1 mini,bills,kmeans,0.4667616091504664,0.0246775041984529,1.0,0.0,0.20694317669091172,0.01794998105928747,0.4543797983841792,0.02025958272205648,5
GPT-4.1 mini,massive,bertopic,0.6113442438202746,0.015737516753166855,0.6922222222222223,0.029749468301089523,0.2662703494487217,0.022700568704235254,0.629688391330083,0.016948660542365726,5
GPT-4.1 mini,massive,direct_hybrid,0.504646677360363,0.04801981217765755,1.0,0.0,0.19839527143505276,0.04500279416844426,0.5017101756802893,0.04019433992566925,5
GPT-4.1 mini,massive,direct_initial,0.4939861528645933,0.047790613118498644,1.0,0.0,0.1872845603471575,0.04780224071312648,0.49070314773918405,0.03902750409357357,5
GPT-4.1 mini,massive,hybrid,0.5471800909481799,0.03359099743191929,0.95,0.0,0.3065056858811481,0.036119445047197524,0.5570612710100955,0.02311973034777437,5
GPT-4.1 mini,massive,initial,0.5446349177400831,0.03606578908034129,0.95,0.0,0.30138166976811565,0.03666995451825636,0.554949069410916,0.023587921087874986,5
GPT-4.1 mini,massive,kmeans,0.6186167136369696,0.04680870047394802,1.0,0.0,0.3503072447308527,0.0534583102563071,0.6355874172837297,0.03813987689016547,5
GPT-4.1 mini,sib200,bertopic,0.3115688179863874,0.010983334845622111,0.06571428571428568,0.03403179785591885,0.0021417956152383,0.0014166423239637624,0.07890130766767116,0.012154049443364935,5
GPT-4.1 mini,sib200,direct_hybrid,0.5770037138055817,0.025344698990701946,1.0,0.0,0.27987483328025997,0.03221355928989228,0.44941196590880883,0.023517250879645724,5
GPT-4.1 mini,sib200,direct_initial,0.5757420293822206,0.024437778103002888,1.0,0.0,0.2791813064492358,0.03163386109625129,0.4479101039180048,0.022255721914658508,5
GPT-4.1 mini,sib200,hybrid,0.5267167280792482,0.038589830837473645,0.9642857142857144,0.0,0.2542443047934731,0.050571204096883024,0.3980281905870993,0.04329830303323443,5
GPT-4.1 mini,sib200,initial,0.5267167280792482,0.038589830837473645,0.9642857142857144,0.0,0.2542443047934731,0.050571204096883024,0.3980281905870993,0.04329830303323443,5
GPT-4.1 mini,sib200,kmeans,0.5342149925066034,0.05237414332575416,1.0,0.0,0.23416612971823625,0.06119846386569081,0.41709956045185576,0.054305333009582575,5
Luna,ag_news,bertopic,0.6595813563258003,0.05301209514835967,0.6888610763454318,0.10365190546588213,0.3442541266463853,0.09378447180593537,0.4709183819697441,0.04583941034983451,5
